ticker,month,first_close,last_close,monthly_return_%
HCLTECH,2024-05,1360.7,1324.1,-2.69
HCLTECH,2024-06,1314.45,1459.6,11.04
HCLTECH,2024-07,1468.85,1642.6,11.83
HCLTECH,2024-08,1640.55,1753.25,6.87
HCLTECH,2024-09,1806.65,1796.1,-0.58
HCLTECH,2024-10,1816.5,1766.05,-2.78
HCLTECH,2024-11,1757.4,1898.4,8.02
HDFCBANK,2023-10,1508.05,1476.5,-2.09
HDFCBANK,2023-11,1474.5,1558.8,5.72
HDFCBANK,2023-12,1555.4,1709.25,9.89
HDFCBANK,2024-01,1698.1,1462.55,-13.87
HDFCBANK,2024-02,1466.35,1403.4,-4.29
HDFCBANK,2024-03,1430.75,1447.9,1.2
HDFCBANK,2024-04,1470.5,1520.1,3.37
HDFCBANK,2024-05,1532.25,1531.55,-0.05
HDFCBANK,2024-06,1572.2,1683.8,7.1
HDFCBANK,2024-07,1705.2,1615.75,-5.25
HDFCBANK,2024-08,1638.8,1636.9,-0.12
HDFCBANK,2024-09,1626.95,1732.05,6.46
HDFCBANK,2024-10,1726.2,1735.7,0.55
HDFCBANK,2024-11,1737.3,1745.6,0.48
HDFCLIFE,2023-10,633.55,618.35,-2.4
HDFCLIFE,2023-11,620.05,690.75,11.4
HDFCLIFE,2023-12,682.15,646.7,-5.2
HDFCLIFE,2024-01,648.7,576.6,-11.11
HDFCLIFE,2024-02,587.1,582.0,-0.87
HDFCLIFE,2024-03,589.95,633.35,7.36
HDFCLIFE,2024-04,634.75,583.65,-8.05
HDFCLIFE,2024-05,576.35,549.85,-4.6
HDFCLIFE,2024-06,550.1,595.05,8.17
HDFCLIFE,2024-07,600.75,715.5,19.1
HDFCLIFE,2024-08,713.6,738.7,3.52
HDFCLIFE,2024-09,745.3,718.0,-3.66
HDFCLIFE,2024-10,710.2,720.15,1.4
HDFCLIFE,2024-11,723.7,688.2,-4.91
HEROMOTOCO,2023-10,3015.6,3088.35,2.41
HEROMOTOCO,2023-11,3092.45,3819.05,23.5
HEROMOTOCO,2023-12,3760.0,4139.55,10.09
HEROMOTOCO,2024-01,4118.55,4621.55,12.21
HEROMOTOCO,2024-02,4586.7,4426.5,-3.49
HEROMOTOCO,2024-03,4507.1,4722.3,4.77
HEROMOTOCO,2024-04,4680.75,4543.05,-2.94
HEROMOTOCO,2024-05,4561.5,5119.6,12.24
HEROMOTOCO,2024-06,5160.6,5579.6,8.12
HEROMOTOCO,2024-07,5603.1,5488.45,-2.05
HEROMOTOCO,2024-08,5371.85,5455.4,1.56
HEROMOTOCO,2024-09,5578.2,5712.4,2.41
HEROMOTOCO,2024-10,5750.1,4989.55,-13.23
HEROMOTOCO,2024-11,5020.5,4794.1,-4.51
HINDALCO,2023-10,479.95,459.5,-4.26
HINDALCO,2023-11,462.7,515.65,11.44
HINDALCO,2023-12,517.2,614.85,18.88
